,region,region_coord
384,Lambrusco di Modena,"(44.7503081, 11.0078558)"
385,Montefalco Sagrantino,"(None, None)"
386,Lazio,"(41.9808038, 12.7662312)"
387,Chalk Hill,"(30.6760252, -85.6799306)"
388,Chorey-lès-Beaune,"(47.0478752, 4.8666174)"
389,Panciu,"(45.9070912, 27.0898993)"
390,Marche,"(43.3458388, 13.1415872)"
391,Vin de France,"(48.2075892, 16.373655)"
392,Yountville,"(38.4022008, -122.3595063)"
393,Cerasuolo di Vittoria Classico,"(None, None)"
394,Frankland River,"(-42.98512, 145.99554)"
395,Geographe,"(-33.64019, 115.3748)"
396,Western Australia,"(-25.2303005, 121.0187246)"
397,Niagara Peninsula,"(42.16339985, -80.08613237287372)"
398,Molise,"(41.684672, 14.595614)"
399,New Jersey,"(40.0757384, -74.4041622)"
400,Hudson River Region,"(7.1802452, 125.5999357)"
401,Maury Sec,"(10.5152549, -66.9442991)"
402,Côtes du Roussillon Villages Caramany,"(None, None)"
403,Irrouléguy,"(None, None)"
404,Mendocino Ridge,"(39.3365545, -123.3011195)"
405,Redwood Valley,"(39.26841725, -123.19937042155391)"
406,Friuli Aquileia,"(45.7696144, 13.3697982)"
407,Cucamonga Valley,"(39.755665199999996, 9.671753291233765)"
408,Dunnigan Hills,"(None, None)"
409,Portuguese Table Wine,"(None, None)"
410,Ile de Beauté,"(43.6071313, 3.8848454)"
411,Pays d'Oc,"(43.604764, 1.4540399)"
412,Chianti Montespertoli,"(None, None)"
413,Anjou Villages Brissac,"(None, None)"
414,Fiddletown,"(38.5037966, -120.7554891)"
415,Bonnezeaux,"(47.0785386, -0.8368063)"
416,Bourgogne Hautes Côtes de Nuits,"(None, None)"
417,Maranges,"(46.8958275, 4.6691844)"
418,Augusta,"(33.4709714, -81.9748429)"
419,Saint-Bris,"(48.8053349, 19.6409612)"
420,Texas,"(31.8160381, -99.5120986)"
421,New Mexico,"(34.5708167, -105.993007)"
422,Nevada,"(39.5158825, -116.8537227)"
423,Adelaide Plains,"(-34.512009500000005, 138.44268852404895)"
424,Bennett Valley,"(38.4254354, -122.6649553)"
425,Lessona,"(45.5872701, 8.1943371)"
426,Boca,"(45.678969, 8.408726)"
427,Weinviertel,"(48.465336699999995, 16.28614802566092)"
428,Lisboa,"(38.7077507, -9.1365919)"
429,Charmes-Chambertin,"(50.6770183, 5.8832524)"
430,Clos de Vougeot,"(47.1752753, 4.9554317)"
431,Beaune,"(47.0239064, 4.8380426)"
432,Valpolicella Superiore,"(None, None)"
433,Peumo,"(-34.3898607, -71.1718297)"
434,Valpolicella Classico Superiore,"(None, None)"
435,Südsteiermark,"(46.774124, 15.667152141167598)"
436,Alto Valle del Río Negro,"(None, None)"
437,Prosecco,"(45.7083528, 13.733628)"
438,Sonoma-Napa,"(38.540524149999996, -122.54835743348914)"
439,Paicines,"(36.7285708, -121.2785409)"
440,Colline Pescaresi,"(None, None)"
441,Sangiovese di Romagna Superiore,"(None, None)"
442,Thermenregion,"(48.0463345, 16.270762)"
443,San Antonio,"(29.4246002, -98.4951405)"
444,Empordà,"(42.173833, 2.931806)"
445,Chianti,"(38.7371314, -122.9422202)"
446,Bucelas,"(38.9016248, -9.118728)"
447,Estremadura,"(39.1748426, -6.1529891)"
448,Salice Salentino,"(40.3856618, 17.9637483)"
449,Canterbury,"(51.2800275, 1.0802533)"
450,Pouilly-Fuissé,"(46.2976987, 4.7487656)"
451,Mâcon-Chardonnay,"(46.5097977, 4.862258)"
452,Seneca Lake,"(42.62798415, -76.89641403030322)"
453,Ladoix,"(47.066212, 4.886749694444445)"
454,Thrace,"(40.7229413, 22.9237909)"
455,Viré-Clessé,"(46.442274, 4.8613619)"
456,Mâcon-Fuissé,"(46.2798941, 4.7441091)"
457,Saint-Véran,"(44.6993395, 6.8687131)"
458,Yorkville Highlands,"(None, None)"
459,Muscadet Sèvre et Maine,"(None, None)"
460,Drama,"(41.1499443, 24.1468286)"
461,Veneto Orientale,"(46.60003, 12.684027)"
462,Vin de Pays des Cévennes,"(None, None)"
463,Luberon,"(45.7040767, 4.918631125773569)"
464,Ella Valley,"(7.2428661, 144.4445455)"
465,Taurasi,"(41.008718, 14.958644)"
466,Carnuntum,"(48.11096895, 16.856701752148087)"
467,Faugères,"(43.5647, 3.19044)"
468,Crémant de Limoux,"(None, None)"
469,Minho,"(41.694867, -8.831088)"
470,Piedmont,"(37.8243715, -122.231635)"
471,Campo de Borja,"(41.78654145, -1.5058322706803928)"
472,Crémant de Bourgogne,"(None, None)"
473,Valdobbiadene Prosecco Superiore,"(None, None)"
474,Irpinia,"(41.06739675, 15.101171767439372)"
475,Württemberg,"(48.7820489, 9.2687566)"
476,Baden,"(47.6199988, -2.9184744)"
477,Basilicata,"(40.500571, 16.081953)"
478,Middleburg,"(38.9690189, -77.7355056)"
479,Côtes du Marmandais,"(None, None)"
480,Coteaux du Layon,"(47.3165909, -0.6169720962188378)"
481,Cornas,"(44.963521, 4.847545)"
482,Chalone,"(36.4476103, -121.1956483)"
483,Savennières,"(47.3830917, -0.6570828)"
484,Ventoux,"(48.677808150000004, 2.1768592308045696)"
485,Taburno,"(41.131518, 14.645935)"
486,Chinon,"(47.1667182, 0.2402095)"
487,Sebino,"(45.7388781, 10.07086612061877)"
488,Vouvray,"(47.4136687, 0.7998446)"
489,Columbia Gorge (OR),"(45.657502, -121.07445123889116)"
490,Trebbiano d'Abruzzo,"(None, None)"
491,Terra Alta,"(41.027352300000004, 0.4105997375190444)"
492,Victoria,"(-36.5986096, 144.6780052)"
493,Valdepeñas,"(38.7594573, -3.3847392)"
494,Yecla,"(38.613652, -1.1157373)"
495,Vin Santo del Chianti,"(None, None)"
496,Fleurie,"(46.1920243, 4.6981214)"
497,Vosne-Romanée,"(47.1585795, 4.9547623)"
498,Nuits-St.-Georges,"(47.134979, 4.9540989)"
499,Recioto della Valpolicella Classico,"(None, None)"
500,Gavi di Gavi,"(41.2988308, 69.2744909)"
501,Barbera d'Alba Superiore,"(None, None)"
502,Dolcetto d'Alba,"(None, None)"
503,Roero Arneis,"(None, None)"
504,Dolcetto di Dogliani,"(None, None)"
505,Neuquén,"(-38.3695057, -69.832275)"
506,Moscato d'Asti,"(None, None)"
507,Istria,"(45.193434499999995, 13.915053587355306)"
508,Peljesac,"(42.904623650000005, 17.47512320947998)"
509,Maremma Toscana,"(43.7697164, 11.2612205)"
510,England,"(52.5310214, -1.2649062)"
511,Alta Langa,"(44.4113606, 8.1208571)"
512,El Dorado County,"(38.7574137, -120.5276129)"
513,Napa County,"(38.4898675, -122.3218414)"
514,Marin County,"(38.0409144, -122.6199638)"
515,Barsac,"(44.6043291, -0.323435)"
516,Conero,"(43.6015727, 13.5406387)"
517,Menfi,"(37.606639, 12.967843)"
518,Río Negro Valley,"(-40.4811973, -67.6145911)"
519,Pernand-Vergelesses,"(47.078957, 4.853803)"
520,Málaga,"(36.7213028, -4.4216366)"
521,Saint-Joseph,"(49.5344534, -1.529802)"
522,Vin de Pays Var,"(None, None)"
523,Spain,"(39.3260685, -4.8379791)"
524,Frascati Superiore,"(None, None)"
525,Quarts de Chaume,"(None, None)"
526,Bordeaux Clairet,"(None, None)"
527,Colli Aprutini,"(None, None)"
528,Montepulciano d'Abruzzo Colline Teramane,"(None, None)"
529,Valpolicella Superiore Ripasso,"(None, None)"
530,Valpolicella Ripasso,"(None, None)"
531,Paarl,"(-33.741667, 18.975)"
532,Weinland Österreich,"(46.7770686, 15.5396483)"
533,Mantinia,"(36.9535613, 22.1580433)"
534,Forlì,"(44.2227278, 12.041273)"
535,Colli Martani,"(None, None)"
536,Monterey,"(36.2231079, -121.3877428)"
537,Monterey County,"(36.2231079, -121.3877428)"
538,Cienega Valley,"(36.7186762, -121.3543641)"
